image,quality,mse,compression_ratio,png_size_bytes,jpg_size_bytes,score
image1,1,547.7527389526367,80.57280875334652,692201,8591,0.600000000000004
image1,10,197.8365003797743,37.333531093252795,692201,18541,0.43356079347214305
image1,20,115.14761522081163,22.378875561734183,692201,30931,0.4182915305914236
image1,30,87.1801045735677,17.03376233481802,692201,40637,0.41458531501317986
image1,40,71.58327229817708,14.17224929364072,692201,48842,0.41191225132666515
image1,50,60.84124501546224,12.279381242128045,692201,56371,0.40967527553930205
image1,60,51.427970038519966,10.732131228875314,692201,64498,0.40714872022403303
image1,70,41.05850728352865,9.007521438702877,692201,76847,0.4044680943898674
image1,80,29.230106777615017,7.148104546815783,692201,96837,0.40086251497808384
image1,90,15.224852667914497,4.845411845411846,692201,142857,0.3971068294926003
image1,100,3.966355217827691,1.830464147071579,692201,378156,0.4
image2,1,735.8927586873373,76.07339982569962,785610,10327,0.6000000000000044
image2,10,261.884405348036,31.68293273108566,785610,24796,0.45131060479133156
image2,20,151.29136996799045,19.99312872194228,785610,39294,0.4238081659720401
image2,30,109.63134426540799,15.414998822698376,785610,50964,0.4143899229438705
image2,40,86.69632042778863,13.0268459714461,785610,60307,0.4084916757160453
image2,50,71.52345275878906,11.372466705269254,785610,69080,0.4049913314886017
image2,60,58.83644697401259,10.020152290090941,785610,78403,0.40189717046244655
image2,70,45.15958574083116,8.510377849033711,785610,92312,0.3988418023069814
image2,80,30.40557607014974,6.84860213928917,785610,114711,0.39572430967336075
image2,90,15.000257703993055,4.803602656133442,785610,163546,0.3941404934991411
image2,100,3.106795416937934,1.9117063757613513,785610,410947,0.4
image3,1,744.0340881347656,64.56518178840484,788470,12212,0.6000000000000056
image3,10,280.88788519965277,30.767159636321068,788470,25627,0.44074131797850247
image3,20,162.4662119547526,19.881738867315548,788470,39658,0.4143359775614134
image3,30,114.72000291612413,15.394993751952514,788470,51216,0.4043141396215457
image3,40,90.35973612467448,13.053058521645559,788470,60405,0.39953775368505084
image3,50,74.21630520290799,11.407262731481481,788470,69120,0.3969710011640095
image3,60,61.133076985677086,10.02466530202281,788470,78653,0.3952020793918759
image3,70,46.68508063422309,8.504141679968937,788470,92716,0.39320844585326004
image3,80,31.610020955403645,6.8382435842952916,788470,115303,0.39163478191627116
image3,90,15.489106920030382,4.763392075008911,788470,165527,0.39182385563442806
image3,100,2.81770748562283,1.8743819177665362,788470,420656,0.4
image4,1,418.92058732774524,67.94063459570113,531024,7816,0.6000000000000045
